combined_recipe,combined_ingredients
"Chicken Curry With Coconut Milk Steps: 1) Preheat 450 ml of cooking oil, fry potatoes until half-cooked, drain and set aside for later use. 2) Put onion, shallot, garlic, old ginger, galangal, lemongrass and cooking oil into blender, process until smooth. 3) Pour the mixture into cooking pot, add in curry powder and mix well. 4) Heat up curry paste over medium heat, then reduce to medium-low heat and cook until fragrant (about 5-6 minutes). 5) Add in chicken pieces, turn to medium heat, cook until the outer parts are cooked. 6) Add in potatoes, mix well. 7) Add in thin coconut milk (or plain water), mix well. 8) Add in star anise, green cardamom and curry leaf (optional: to enhance the flavour of curry). 9) Mix 2 tsps of water with asam paste, add in. 10) Bring to the boil, reduce to low heat, cover and cook for 25-30 minutes, until all ingredients are tender, stir 1-2 times in between cooking. 11) After 30 minutes, discard some chili oil using a strainer if you prefer a less oily curry. 12) Add in thick coconut milk, evaporated milk and salt, mix well. 13) Bring to the boil again, then OFF the heat. Ingredients: 40 g onion, 40 g shallots, 15 g garlic, 15 g old ginger, 15 g galangal (lengkuas), 1 stalk lemongrass, 120 ml cooking oil, 30 g meat curry powder, 1 tsp tamarind/asam paste (deseeded), 2 tsps plain water, 1 sprig curry leaf, 2 pcs star anise (bunga lawang), 3 pcs green cardamom (buah pelaga), 850 g chicken (cut into pieces), 450 g potatoes (cut into chunks), 230 ml thin coconut milk (or water), 130 ml thick coconut milk, 70 ml evaporated milk, 1¼ tsps salt","40 g onion, 40 g shallots, 15 g garlic, 15 g old ginger, 15 g galangal (lengkuas), 1 stalk lemongrass, 120 ml cooking oil, 30 g meat curry powder, 1 tsp tamarind/asam paste (deseeded), 2 tsps plain water, 1 sprig curry leaf, 2 pcs star anise (bunga lawang), 3 pcs green cardamom (buah pelaga), 850 g chicken (cut into pieces), 450 g potatoes (cut into chunks), 230 ml thin coconut milk (or water), 130 ml thick coconut milk, 70 ml evaporated milk, 1¼ tsps salt, indian"
"Simple Chicken Rendang Recipe (Resepi Ayam Rendang Mudah) Steps: 1) Use 1 half-bird or 3 leg quarters chicken, about 1 kg, cut into small pieces, pat dry and marinate with ½ tsp salt for at least 1 hour, keep refrigerated if marinating period longer than an hour. 2) Use half of the 300g grated coconut for toasting. Toast 150g grated coconut in a dry non-stick pan/wok over medium heat until golden brown, keep stirring. The cooking should take about 10-12 minutes. Color of the toasted coconut will turn slightly deeper when cooled. 3) Blend the toasted coconut with a food processor, ground to fine or paste if you prefer. This can be made ahead and keep refrigerated. 4) Add the remaining 150g fresh grated coconut to a food processor, mix with 300g hot water (80°C-90°C), process until fine. 5) Pour the mixture onto a sieve, allow it to slightly cool down and squeeze out the coconut milk. 6) Cut, rinse, de-seed and drain dried chilies. 7) Combine and thoroughly mix tamarind paste with some water and set aside. 8) Cut 1 slices of Lengkuas (Alpinia galanga), 4 Kaffir lime leaves, slice 2 turmeric leaves thinly and slightly smash 2 stalks lemongrass with the back of a heavy knife to release the flavor. 9) Cut onion, shallot and garlic into small chunks, this will help the food processor doing the chopping more easily. 10) Add in dried chilies, Candlenut, onion, shallot and garlic, process until fine with a food processor/blender. Mix in ginger powder and turmeric powder. Oil helps with the blending process; add just enough to blend all the ingredients. 11) Shallow fry the chicken with 4 to 5 tablespoons of oil, turn over the chicken meat partway, cook for about 6-8 minutes. Set aside. 12) Pour chili paste into cooking pan, add in Lengkuas (Alpinia galanga, blue ginger) and lemongrass, cook with medium heat for about 6-8 minutes until fragrant and oil separate from chili paste. Add in chicken to stir fry. 13) Cook for 10 minutes on medium heat, stir occasionally to avoid burning. Add in Kaffir lime leaves, coconut milk, tamarind water and toasted coconut, cook for another 10 minutes to reduce the sauce. 14) Mix in palm sugar and salt, stir in sliced turmeric leaf and turn off the heat. Scoop out floating fat if desired, the sauce will continue to thicken when cooled. 15) Sauce will continue to thicken, the taste of the meat will be richer and color will be darker after completely cooled. Ingredients: 300 g grated coconut (about 1 coconut), 1 half-bird (or 3 leg quarters, about 1 kg), 280 g oil, 50 g dried chili (cut, soak, de-seed and drain), 10 g candlenut, 130 g onions (about 2 small), 65 g shallot, 15 g garlic, ½ tsp ginger powder (or 20g fresh ginger), ½ tsp turmeric powder (or 20g fresh turmeric), 1 slice lengkuas (Alpinia galanga), 2 stalks lemongrass, 4 Kaffir lime leaves, 2 turmeric leaves, 25 g Asam Jawa (Tamarind paste (soak with some water to extract the flavor)), 50 g palm sugar, 2 ½ tsp salt (use ½ tsp to marinate chicken)","300 g grated coconut (about 1 coconut), 1 half-bird (or 3 leg quarters, about 1 kg), 280 g oil, 50 g dried chili (cut, soak, de-seed and drain), 10 g candlenut, 130 g onions (about 2 small), 65 g shallot, 15 g garlic, ½ tsp ginger powder (or 20g fresh ginger), ½ tsp turmeric powder (or 20g fresh turmeric), 1 slice lengkuas (Alpinia galanga), 2 stalks lemongrass, 4 Kaffir lime leaves, 2 turmeric leaves, 25 g Asam Jawa (Tamarind paste (soak with some water to extract the flavor)), 50 g palm sugar, 2 ½ tsp salt (use ½ tsp to marinate chicken), thai"
"Singapore Noodles In Lettuce Leaves Steps: 1) Heat a wok or large heavy skillet over high heat until very hot. Add the oil and heat until very hot, about 30 seconds. Add the seasonings and stir-fry until fragrant, about 10 seconds. 2) Add the red onions and stir fry until just tender, about 2 minutes. Add the red peppers and toss lightly for a minute, then add the cabbage and continue cooking until the vegetables are crisp-tender, about 3 minutes. Add the sauce mixture and the softened noodles and carefully toss to blend. Cook until the noodles are tender, about a minute, then transfer the noodles to a serving dish. 3) To eat, spoon some of the noodle mixture onto a lettuce leaf, roll it up, tucking in the edges, and eat with your fingers. Ingredients: 2 tablespoons safflower oil or 2 tablespoons corn oil, 1 1/2 tablespoons minced ginger, 1 tablespoon peeled and minced fresh ginger, 1 1/2 tablespoons curry powder, preferably Madras curry, 2 1/2 cups very thinly sliced red onions (about 2 onions), 2 cups thin julienne strips red bell peppers (about 2 medium-size peppers), 3 cups cored and thinly sliced Chinese cabbage (napa), 1/4 cup water, 3 tablespoons soy sauce, 1 teaspoon salt, 1/2 teaspoon sugar, 1/4 teaspoon fresh ground black pepper, 1/3 lb thin rice stick noodles or 1/3 lb vermicelli, softened in hot water and drained, 2 heads boston lettuce, cores trimmed, leaves separated, pressed to flatten, rinsed, and arranged around the edges of a serv","2 tablespoons safflower oil or 2 tablespoons corn oil, 1 1/2 tablespoons minced ginger, 1 tablespoon peeled and minced fresh ginger, 1 1/2 tablespoons curry powder, preferably Madras curry, 2 1/2 cups very thinly sliced red onions (about 2 onions), 2 cups thin julienne strips red bell peppers (about 2 medium-size peppers), 3 cups cored and thinly sliced Chinese cabbage (napa), 1/4 cup water, 3 tablespoons soy sauce, 1 teaspoon salt, 1/2 teaspoon sugar, 1/4 teaspoon fresh ground black pepper, 1/3 lb thin rice stick noodles or 1/3 lb vermicelli, softened in hot water and drained, 2 heads boston lettuce, cores trimmed, leaves separated, pressed to flatten, rinsed, and arranged around the edges of a serv, chinese"
"Steamed Pork Ribs With Taucu (Bean Paste Pork Ribs Recipe) Steps: 1) Dry pork ribs with kitchen towels, add in all ingredients and mix well. 2) Keep refrigerated to marinate for 1 hour. 3) Transfer marinated pork ribs to heat-resistant plate for steaming. 4) Bring water of steamer to the boil, steam over medium-high heat for 20 minutes. 5) Steamed pork ribs with black bean sauce (Taucu) is done. Ingredients: 500 g pork ribs (cut into pieces), 50 g minced taucu (black bean paste), 2 red chilies (chopped), 35 g garlic (chopped), 2 tsps sugar, 1 tsp oyster sauce, ½ tbsp cornstarch","500 g pork ribs (cut into pieces), 50 g minced taucu (black bean paste), 2 red chilies (chopped), 35 g garlic (chopped), 2 tsps sugar, 1 tsp oyster sauce, ½ tbsp cornstarch, korean"
"Fried Singapore Noodles Steps: 1) Soak rice noodles in water for about 13mins. 2) Drain well & pat dry with paper towel. 3) Heat wok or large skillet, then add half oil (1TBS of each). 4) When oil is hot add the noodles and salt. 5) Stir-fry for 4mins. 6) Transfer to a warm serving dish and keep warm. 7) Heat remaining oil & add the prawn, pork, pepper, sugar, & curry powder. 8) Stir fry for 1 minute. 9) Return the noodles to the pan & stir fry with the Thai fishcakes for 2 minutes. 10) Stir in the soy sauce & serve immediately. Ingredients: 6 ounces rice noodles, 2 tablespoons peanut oil, 2 tablespoons chili oil, 1/2 teaspoon salt, 3/4 cup prawns (cooked), 6 ounces pork (cooked & cut into matchsticks), 1 bell pepper (seeded and cut into mtchsticks), 1/2 teaspoon sugar, 2 teaspoons curry powder, 3 teaspoons dark soy sauce","6 ounces rice noodles, 2 tablespoons peanut oil, 2 tablespoons chili oil, 1/2 teaspoon salt, 3/4 cup prawns (cooked), 6 ounces pork (cooked & cut into matchsticks), 1 bell pepper (seeded and cut into mtchsticks), 1/2 teaspoon sugar, 2 teaspoons curry powder, 3 teaspoons dark soy sauce, chinese"
"Black Silkie Chicken Soup With Coconut And American Ginseng Steps: 1) Tap hard around the equator of the coconut using the back of a heavy knife or hammer. Continue while rotating with your hand until the coconut is cracked open. Use a bowl to catch the coconut juice when it splits open. 2) Remove coconut flesh by plying between hard coconut shell and meat. Apply some pressure and the meat will pop right out. Cut into small pieces. 3) Plying between hard coconut shell and meat to remove coconut flesh. 4) Wash and thoroughly clean the coconut flesh. 5) Remove chicken skin, blanch in boiling water. 6) Wash and clean chicken flesh in running water. 7) Add in coconut, american ginseng, red date and silkie chicken. 8) Add in coconut juice and 1.8l of boiling water or until all ingredients is completely submerge. 9) Slow cook for 4 hours. 10) Soak dried wolfberries for a few minutes. 11) 15 minutes before serving, remove excess fat from the soup. Add in soaked wolfberries and salt to taste. 12) Healthy and delicious, silkie chicken soup with ginseng and coconut. Ingredients: 1 brown (matured coconut), 1 silkie chicken (black chicken), 10 g wolfberries, 5 g American ginseng, 5 red date, 1.8 liter of water","1 brown (matured coconut), 1 silkie chicken (black chicken), 10 g wolfberries, 5 g American ginseng, 5 red date, 1.8 liter of water, mexican"
"Lemongrass Fried Chicken Drumsticks Steps: 1) Dry cleaned chicken drumsticks with kitchen towels. 2) Pierce chicken drumsticks with holes using a fork. 3) Combine lemongrass, curry leaf, garlic, shallot and onion in blender, add in 200 g of water, blend until fine. Add in ground pepper, curry powder, salt and sugar, blend until combined. 4) Pour half of marinade into zip lock bag, put in chicken drumsticks, pour in the remaining marinade, zip the bag, coat each drumstick well with marinade. 5) Keep refrigerated to marinate for at least 3 hours. (Reminder: I usually marinate it overnight for better taste.) 6) Transfer marinated chicken drumsticks to large pan (discard excess marinade), add in cornstarch, mix well. 7) Preheat 750 ml of cooking oil to 170°C/340°F, turn to medium heat. Put in chicken drumsticks, fry for about 11-12 minutes, until golden brown. (Reminder: If your drumstick is larger, then you need to increase the cooking time, adjust accordingly.) 8) Turn to medium-high heat for 1 minute before removing from oil. 9) Put fried chicken drumsticks on strainer ladle to drain off the oil. Ingredients: 1 kg chicken drumsticks (about 8 pcs, each about 125 g, cleaned), 4½ tbsps cornstarch, 6 stalks lemongrass, 1 sprig curry leaf, 15 g garlic, 20 g shallot, 40 g onion, 200 g water, ½ tsp ground pepper, 1 tsp curry powder, 2¾ tsps fine salt, 3½ tbsps fine sugar","1 kg chicken drumsticks (about 8 pcs, each about 125 g, cleaned), 4½ tbsps cornstarch, 6 stalks lemongrass, 1 sprig curry leaf, 15 g garlic, 20 g shallot, 40 g onion, 200 g water, ½ tsp ground pepper, 1 tsp curry powder, 2¾ tsps fine salt, 3½ tbsps fine sugar, indian"
"Singapore Hawker Chili Crab Steps: 1) Pull the main shell off the crab and discard it. Remove the gray gills and the soft insides. Cut the body in fourths and then cut between each leg. Crack the legs and claws with the back of the knife or a hammer and set aside. 2) In a large bowl, mix together ketchup, water, cornstarch, soy sauces and tamarind. 3) Heat skillet and the oil, stir in garlic and shallots. Fry the garlic and shallots for 1 to 2 minutes before adding the chili. Fry another 2 minutes. Add crab pieces and fry until they turn red, about 4 minutes. 4) Stir sauce mixture into the skillet until the crabs are well coated. Cover the skillet and let simmer on high heat, for 7 minutes or until the shells turn bright red. 5) Remove cover and stir in the lime juice. Stir in beaten egg until it is fully cooked. Turn the heat off and stir in green onions. 6) Serve with steamed or fried mantou (Chinese buns), French loaves, toasted sliced bread or plain white rice. Ingredients: 1 lb whole dungeness crab, 5 tablespoons ketchup or 5 tablespoons tomato paste, 1 cup water, 2 tablespoons cornstarch, 2 tablespoons oyster sauce or 2 tablespoons indonesian soy sauce, 2 tablespoons dark soy sauce or 2 tablespoons regular soy sauce, 1 tablespoon tamarind paste, 5 tablespoons vegetable oil, 7 garlic cloves, crushed, 2 tablespoons shallots, minced, 10 red chili peppers, pounded with seeds, 3/4 teaspoon lemon juice, 1 egg, beaten, 4 green onions, minced","1 lb whole dungeness crab, 5 tablespoons ketchup or 5 tablespoons tomato paste, 1 cup water, 2 tablespoons cornstarch, 2 tablespoons oyster sauce or 2 tablespoons indonesian soy sauce, 2 tablespoons dark soy sauce or 2 tablespoons regular soy sauce, 1 tablespoon tamarind paste, 5 tablespoons vegetable oil, 7 garlic cloves, crushed, 2 tablespoons shallots, minced, 10 red chili peppers, pounded with seeds, 3/4 teaspoon lemon juice, 1 egg, beaten, 4 green onions, minced, chinese"
"Singapore Noodles Steps: 1) To make the sauce: Warm sesame oil in a small pan on medium heat. Add curry powder, garlic and ginger; sauté until fragrant, about 1 ½ minutes. Add chicken broth, soy sauce, brown sugar, and chili paste. Stir to combine and then cover; cook for 5 minutes. Remove pan from heat and set aside. 2) In a large bowl, place vermicelli in hot water (enough to cover) and soak until noodles are soft, about 3 to 4 minutes. Use a fork or chopstick to separate noodles while in the water. Drain and set aside. Sprinkle noodles slightly with curry powder. Mix and repeat until noodles are evenly colored yellow. 3) In a small bowl, add eggs and beat well before adding a few dashes of fish sauce; stir to combine and set aside. 4) In a large wok over medium-high heat, add 2 tablespoons sesame oil. Add onion, peppers (red & jalapeño) and cook until softened. Add garlic and ginger; sauté for 1 minute. Add green onions and bean sprouts; stir fry for 3 minutes. Set vegetables aside in a bowl. 5) In the wok, heat 2 tablespoons sesame oil over medium heat. Add shrimps and sauté for 30 seconds before adding char siu pork; toss to combine and sauté for 2 minutes. Remove the pan from the heat. 6) In a small skillet over medium heat, add egg mixture and stir until scrambled but slightly wet. Return wok on medium heat, add scrambled eggs, and vegetables; toss to combine. Add vermicelli and toss until well combined. Pour sauce and mix thoroughly to coat noodles. Serve with toasted sesame seeds and fresh chives. 7) Note: Add tofu if desired. Ingredients: 2 tablespoons sesame oil, 4 teaspoons curry powder, 2 large garlic cloves, minced, 1/2 tablespoon fresh ginger, minced, 1 cup low sodium chicken broth, 1 1/2 tablespoons low sodium soy sauce, 4 teaspoons brown sugar (to taste), 2 teaspoons hot chili paste, 1 cup dried rice noodles, 2 tablespoons curry powder (or as needed), 1 tablespoon sesame seeds, toasted, 2 large eggs, beaten, 3 dashes fish sauce, 4 tablespoons sesame oil, divided, 1/2 tablespoon vegetable oil (if needed), 1/3 medium white onion, sliced into thin strips, 1 large jalapeno pepper, seeded, ribs removed and thinly sliced, 1/2 medium red pepper, thinly sliced, 2 large garlic cloves, minced, 1/2 tablespoon ginger, minced, 4 large green onions, diagonally sliced into 2-inch pieces, 2 cups bean sprouts, rinsed and drained, 12 large prawns, peeled and deveined, 1 1/2 cups char siu pork, thinly sliced (Chinese BBQ pork), 2 tablespoons fresh chives, chopped (substitute nira chives)","2 tablespoons sesame oil, 4 teaspoons curry powder, 2 large garlic cloves, minced, 1/2 tablespoon fresh ginger, minced, 1 cup low sodium chicken broth, 1 1/2 tablespoons low sodium soy sauce, 4 teaspoons brown sugar (to taste), 2 teaspoons hot chili paste, 1 cup dried rice noodles, 2 tablespoons curry powder (or as needed), 1 tablespoon sesame seeds, toasted, 2 large eggs, beaten, 3 dashes fish sauce, 4 tablespoons sesame oil, divided, 1/2 tablespoon vegetable oil (if needed), 1/3 medium white onion, sliced into thin strips, 1 large jalapeno pepper, seeded, ribs removed and thinly sliced, 1/2 medium red pepper, thinly sliced, 2 large garlic cloves, minced, 1/2 tablespoon ginger, minced, 4 large green onions, diagonally sliced into 2-inch pieces, 2 cups bean sprouts, rinsed and drained, 12 large prawns, peeled and deveined, 1 1/2 cups char siu pork, thinly sliced (Chinese BBQ pork), 2 tablespoons fresh chives, chopped (substitute nira chives), chinese"
"Singapore Noodles Steps: 1) Soak the noodles in a large pan or bowl with enough warm water to cover for 20 minutes or until they are soft and pliable. Drain in a colander, shaking well to remove excess water. Using kitchen shears, roughly cut the noodles into 6 to 8 inch long pieces. 2) In a small bowl, combine the broth, soy sauce and rice wine. 3) Heat a 14 in wok over high heat until a bead of water vaporizes within 1 to 2 seconds of contact. Swirl in 1 tbl of the oil, add the garlic, ginger, and pepper flakes, then, using a spatula, stir-fry 10 seconds or until the aromatics are fragrant. 4) Add the shrimp and stir-fry 1 minute or until the shrimp have just turned pink/orange but are not cooked through. Transfer the shrimp to a plate. 5) Swirl the remaining 2 tbl oil into the wok, add the bell peppers and stir fry 30 seconds or until the peppers are bright green. Add the curry powder and stir-fry 5 seconds or until the curry is fragrant. 6) Swirl the broth mixture into the wok, add the drained noodles, and stir-fry until they are completely coated in the curry mixture. Sprinkle on the salt,, sugar, and pepper and stir-fry 1 to 2 minutes, or until the noodles are just tender. 7) Add the shrimp and pork and stir-fry 1 to 2 minutes or until the shrimp are just cooked through and all the liquid has been absorbed by the noodles. 8) Stir in the scallions and serve. Ingredients: 8 ounces thin rice stick noodles (vermicelli), 1/2 cup low sodium chicken broth, 1 tablespoon soy sauce (to taste), 1 tablespoon rice wine or 1 tablespoon dry sherry, 3 tablespoons peanut oil or 3 tablespoons vegetable oil, 1 tablespoon minced garlic, 1 tablespoon minced ginger, 1/4 teaspoon red pepper flakes, 4 ounces small shrimp, peeled and deveined, 1 cup thinly sliced green bell pepper, 1 tablespoon curry powder, 1/4 teaspoon salt, I omit, 3/4 teaspoon sugar, 1/8 teaspoon fresh ground black pepper, 4 ounces barbecued pork, julienned (about 1 cup), 1 cup finely shredded scallion","8 ounces thin rice stick noodles (vermicelli), 1/2 cup low sodium chicken broth, 1 tablespoon soy sauce (to taste), 1 tablespoon rice wine or 1 tablespoon dry sherry, 3 tablespoons peanut oil or 3 tablespoons vegetable oil, 1 tablespoon minced garlic, 1 tablespoon minced ginger, 1/4 teaspoon red pepper flakes, 4 ounces small shrimp, peeled and deveined, 1 cup thinly sliced green bell pepper, 1 tablespoon curry powder, 1/4 teaspoon salt, I omit, 3/4 teaspoon sugar, 1/8 teaspoon fresh ground black pepper, 4 ounces barbecued pork, julienned (about 1 cup), 1 cup finely shredded scallion, chinese"
"Singapore Sling Steps: 1) Fill a shaker with ice. 2) Add ingredients to shaker and shake for about 1 minute. Strain over ice into a tall glass. Ingredients: 6 tablespoons pineapple juice, 2 tablespoons gin, 2 tablespoons fresh lime juice, 1 tablespoon cherry heering, 1 tablespoon grenadine, 1/2 tablespoon benedictine, 2 dashes triple sec or 2 dashes Grand Marnier, 3 dashes Angostura bitters","6 tablespoons pineapple juice, 2 tablespoons gin, 2 tablespoons fresh lime juice, 1 tablespoon cherry heering, 1 tablespoon grenadine, 1/2 tablespoon benedictine, 2 dashes triple sec or 2 dashes Grand Marnier, 3 dashes Angostura bitters, mexican"
"Chinese Green Papaya Soup Recipe Steps: 1) Blanche pork ribs with hot water. 2) Rinse the pork ribs with water. 3) Soak wolfberries with cold water and set aside. 4) Rinse green papaya and peel the skin off. 5) Remove the seeds with a spoon 6) Cut the papaya into 1-inch thick cubes 7) Add the papayas into the pot and when it boils, simmer for 1 1/2 hours to 2 hours. Add wolfberries 15 minutes before serving. 8) Add salt to taste before serving. 9) A delicious green papaya soup with pork ribs is done. Serve hot. Ingredients: 650 g green papaya (1 medium-sized), 400 g pork ribs, 10 g wolfberries, 8 cups water, 2 tsp salt (to taste)","650 g green papaya (1 medium-sized), 400 g pork ribs, 10 g wolfberries, 8 cups water, 2 tsp salt (to taste), filipino"
"Spicy Sesame Fried Chicken Drumstick Steps: 1) Finely chop fresh curry leaves. 2) Add chopped curry leaves, ½ tsp sugar, 1 tsp salt, ½ tsp pepper and ½ tsp chili powder, marinate for at least 15 minutes. 3) Mix 350g all-purpose flour with ¼ tsp baking powder, 1 ½ tsp salt, 3 tsp pepper, 3 tsp chili powder and 3 tsp sesame seed, whisk and make sure all ingredients is well distributed. 4) Crack and fully beat 2 eggs. 5) Dredge drumstick in flour mixture, fully coat chicken drumstick with flour, one at a time. 6) Dip drumstick in the egg and coat well. 7) Back to flour mixture to give another coat of flour, set aside for 10 minutes. 8) Heat 1 liter of oil to 160°C-170°C(320°F-340°F). 9) Medium-low heat(or 160°C), deep fried for about 10 mins until golden brown, set aside. 10) Raise oil temperature to 180°C, double fried for 1 minute. 11) Tip to non-greasy and crispy sesame fried chicken is to double-fried for 1 minute. Ingredients: 6 pieces chicken drumsticks, 1 stem curry leaves, ½ tsp sugar, 1 tsp salt, ½ tsp pepper, ½ tsp chilli powder, 350 g all-purpose flour, ¼ tsp baking powder, 1½ tsp salt, 3 tsp pepper, 3 tsp chili powder, 3 tsp sesame seed, 2 eggs","6 pieces chicken drumsticks, 1 stem curry leaves, ½ tsp sugar, 1 tsp salt, ½ tsp pepper, ½ tsp chilli powder, 350 g all-purpose flour, ¼ tsp baking powder, 1½ tsp salt, 3 tsp pepper, 3 tsp chili powder, 3 tsp sesame seed, 2 eggs, indian"
"Singapore Sling Steps: 1) Add ingredients to a 10 oz. 2) glass filled w/ ice. 3) Shake lightly (don't want the soda water to fizz too much, but the cherry brandy is thick and will settle at the bottom if not shaken) Garnish with an orange cherry flag. Ingredients: 1 1/2 ounces gin, 1/2 ounce cherry brandy, 1/2 ounce lemon juice, sour mix, soda water","1 1/2 ounces gin, 1/2 ounce cherry brandy, 1/2 ounce lemon juice, sour mix, soda water, southern_us"
"Singapore Noodles With Shrimp Steps: 1) Heat 3 tablespoons oil, curry powder, and cayenne, if using, in a 12-inch nonstick skillet over medium-low heat, stirring occasionally, until fragrant, about 4 minutes. Remove skillet from heat and set aside. 2) Bring 1½ quarts water to boil. Break rice noodles into thirds and place into a large bowl. Pour boiling water over noodles and stir briefly. Soak noodles until flexible, but not soft, about 2½ minutes, stirring once halfway through soaking. Drain noodles and add in the curry mixture, soy sauce and sugar; using tongs, toss until well combined. Set aside. 3) Wipe out skillet with paper towels. Heat 2 teaspoons oil in skillet over medium-high heat until shimmering. Add in shrimp in an even layer and cook without moving them until bottoms are browned, about 90 seconds. Stir and continue to cook until just cooked through, about 90 seconds longer. Push shrimp to 1 side of skillet. Add 1 teaspoon of oil to the cleared side of skillet. Add eggs to clearing and sprinkle with ¼ teaspoon of salt. Using a rubber spatula, stir eggs gently until set but still wet, about 1 minute. Stir eggs into shrimp and continue to cook, breaking up large pieces of egg, until eggs are fully cooked, about 30 seconds longer. Transfer shrimp-egg mixture to a second large bowl. 4) Reduce heat to medium. Heat remaining 1 teaspoon oil in a now-empty skillet until shimmering. Add in garlic and ginger and cook, stirring constantly, until fragrant, about 15 seconds. Add in bell pepper and shallots. Cook, stirring frequently, until vegetables are crisp-tender, about 2 minutes. Transfer to the bowl with the shrimp and egg mixture. 5) Return skillet to medium-high heat, add broth to skillet, and bring to a simmer. Add noodles and cook, stirring frequently, until liquid is absorbed, about 2 minutes. Add in the shrimp mixture and vegetable mixture and toss to combine. Add in the bean sprouts, green onions and lime juice, toss again until all of the mixture is well combined. Serve immediately with lime wedges. Serves 4 to 6 people. Ingredients: 4 tablespoons vegetable oil, 2 tablespoons curry powder, 1/8 teaspoon cayenne pepper (optional), 6 ounces rice vermicelli, 2 tablespoons soy sauce, 1 teaspoon sugar, 12 ounces large shrimp, peeled, deveined, tails removed and cut into 12-inch pieces (26 to 30 per pound), 4 large eggs, lightly beaten, seasoned with a pinch of salt, 3 garlic cloves, minced to a paste, 1 teaspoon grated fresh ginger, 1 red bell pepper, stemmed, seeded and cut into 2-inch long matchsticks, 2 large shallots, sliced thin, 2/3 cup chicken broth, 4 ounces bean sprouts, 4 green onions, cut into 1/2 inch pieces, 2 teaspoons lime juice, plus lime wedges for serving","4 tablespoons vegetable oil, 2 tablespoons curry powder, 1/8 teaspoon cayenne pepper (optional), 6 ounces rice vermicelli, 2 tablespoons soy sauce, 1 teaspoon sugar, 12 ounces large shrimp, peeled, deveined, tails removed and cut into 12-inch pieces (26 to 30 per pound), 4 large eggs, lightly beaten, seasoned with a pinch of salt, 3 garlic cloves, minced to a paste, 1 teaspoon grated fresh ginger, 1 red bell pepper, stemmed, seeded and cut into 2-inch long matchsticks, 2 large shallots, sliced thin, 2/3 cup chicken broth, 4 ounces bean sprouts, 4 green onions, cut into 1/2 inch pieces, 2 teaspoons lime juice, plus lime wedges for serving, thai"
"Singapore Turkey Stew Steps: 1) In a large bowl, mix ground turkey, five spice, chili flakes and salt; shape mixture into 1-inch balls; pour flour onto a large plate and roll balls in flour to coat lightly. 2) Pour oil into a 4-5 qt nonstick pan over medium-high heat; add meatballs in a single layer; cook, turning often, until lightly browned all over and barely pink in the center, about 5-7 minutes; using a slotted spoon, transfer to a plate. 3) Add garlic and ginger to pan and stir until fragrant, about 30 seconds; add coconut milk, broth and meatballs; bring to a simmer. 4) Adjust heat to maintain a simmer, cover and cook until meatballs are no longer pink in the center, about 5 minutes. 5) Stir in bok choy, baby corn, tomatoes, water chestnuts, green onions, and lime juice and cook, stirring often, until bok choy leaves are wilted and stems are barely tender to bite, about 5 minutes. 6) Sprinkle with cilantro and serve from the pan. Ingredients: 1 lb lean ground turkey, 1/2 teaspoon Chinese five spice powder, 1/2 teaspoon hot chili flakes, 1/2 teaspoon salt, 2 tablespoons all-purpose flour, 1 tablespoon vegetable oil, 2 cloves garlic, minced, 1 tablespoon grated fresh ginger, 1 (13 1/2 ounce) can coconut milk, 1 (14 1/2 ounce) can chicken broth, 1 head bok choy, rinsed,stem end trimmed and cut into 1 inch pieces (about 12 oz.), 1 (14 ounce) can baby corn, drained, 2 Italian tomatoes, rinsed,cored and chopped, 1/4 cup drained canned sliced water chestnuts, 1/4 cup thinly sliced green onion, 1 tablespoon lime juice, 3 tablespoons chopped fresh cilantro leaves","1 lb lean ground turkey, 1/2 teaspoon Chinese five spice powder, 1/2 teaspoon hot chili flakes, 1/2 teaspoon salt, 2 tablespoons all-purpose flour, 1 tablespoon vegetable oil, 2 cloves garlic, minced, 1 tablespoon grated fresh ginger, 1 (13 1/2 ounce) can coconut milk, 1 (14 1/2 ounce) can chicken broth, 1 head bok choy, rinsed,stem end trimmed and cut into 1 inch pieces (about 12 oz.), 1 (14 ounce) can baby corn, drained, 2 Italian tomatoes, rinsed,cored and chopped, 1/4 cup drained canned sliced water chestnuts, 1/4 cup thinly sliced green onion, 1 tablespoon lime juice, 3 tablespoons chopped fresh cilantro leaves, chinese"
