title,instructions,ingredients
Singapore Pork and Onion Stir-Fry (Chinese),"Slice onions. Set aside.
Slice pork against the grain into thin, matchbox-sized pieces.
Place in large bowl. Marinate with sauces, sugar and sesame oil.
Mix well. Leave for 15-60 minutes to marinate.
Heat frying pan / wok with 2 tablespoons of oil.
Stir-fry onions on low fire, till soft and fragrant.
Add pork. Stir 2 tablespoons of water in your marinade bowl and pour into pan (so there's more gravy).
Cook over medium heat.
Serve with rice.","['400 g boneless pork loin', '1 onion (large)', '3/4 tablespoon light soya sauce', '1 1/2 tablespoons dark soya sauce', '3/4 tablespoon oyster sauce', '1/2 teaspoon sugar', '1/2 teaspoon cornstarch', '1/4 teaspoon ground black pepper', '1/2 teaspoon sesame oil']"
Copycat P.F. Chang's Singapore Street Noodles,"Boil rice stick noodles for 2 minutes or until just soft.
Rinse under hot water and drain.
Toss noodles with 2 tbsp oil and keep warm.
To prepare sauce, mix vinegar with curry powder and turmeric until blended.
Add soy sauce, oyster sauce, Sriracha, and ketchup, mixing well.
Set sauce aside until needed.
Stir-fry shrimp and chicken with remaining 2 tbsp of oil until until cooked through.
Add garlic, cabbage, tomatoes and carrots and cook for one minute more.
Stir in sauce mixture until everything is evenly coated.
Cook for 1-2 minutes more or until dish is heated through.
Toss noodles with chopped scallions, cilantro and sesame oil.
Garnish with fried shallots, if desired.","['16 ounces rice noodles, uncooked', '4 tablespoons oil', '8 ounces shrimp, peeled and deveined', '8 ounces boneless skinless chicken breasts, sliced', '1 tablespoon minced garlic', '1 cup cabbage, sliced thin', '1/2 cup carrot, julienned', '2 medium tomatoes, cut into chunks', '1 bunch scallion, cut into 2 inch lengths (green parts only)', '1/4 bunch cilantro, chopped', '1 teaspoon dark sesame oil', '1/3 cup fried shallot (commercially prepared) (optional)', '1 lime, cut into fourths', '1 tablespoon vinegar', '2 tablespoons Madras curry powder', '1 pinch turmeric', '2 tablespoons light soy sauce', '1/2 cup vegetarian oyster sauce', '2 tablespoons sriracha sauce', '2 tablespoons ketchup']"
Singapore Noodles,"Cook pasta and drain.
In a bowl, mix the chicken base, water, fish sauce, sesame oil, sugar, wine and cornstarch.
In a frying pan, fry garlic and green onions with ginger powder for a minute or two.
Add the veggies and mushrooms and stir on medium heat for a minute or two.
Add the shrimp/meat if you choose to make it a non-veg dish.
Cook until shrimp/meat is cooked.
Take it off the heat.
In a roasting pan put the noodles and the veggies together.
Pour the liquid in the bowl over it.
Put the roasting pan on the stove and over medium heat give it a good stir and turn off heat.","['250 g noodles (spaghettini or any fine noodles)', 'vegetable oil (for frying)', '3 garlic cloves, crushed', '1 teaspoon ginger powder', '1 tablespoon sugar', '4 green onions, sliced diagonally', '6 -8 shrimp (optional)', '1 chicken breast, thinly sliced (optional)', '12 snow peas', '6 mushrooms, finely sliced', '1/2 red pepper, finely sliced', '1 -2 teaspoon curry powder', '1 tablespoon chicken base', '3/4 cup water', '2 tablespoons fish sauce (or oyster sauce)', '2 tablespoons dry wine', '1 tablespoon cornstarch (or flour)', '2 tablespoons sesame seed oil']"
Singapore Noodles,"Separate noodles, then soak according to package directions. If noodles soften before you need them, drain and toss with a little vegetable oil.
Rinse shrimp under cold water. Pat dry. Cut chicken in half lengthwise, then slice into strips. Slice onion into 1 inch pieces. Slice carrot into julienne strips. Thinly slice pepper. In small bowl, stir lime juice with soya sauce, water, 1 Tbsp oil.
Heat remaining oil in large pan or wok over med-high heat. Add chicken and fry until lightly golden (3 minutes). Add shrimp, carrot, red pepper, garlic, and ginger. Sprinkle with curry powder and salt. Stir often until shrimp turn bright pink, 3 minutes. Add drained noodles, then lime mixture. Stir often, separating noodles, until hot, and noodles turn yellow, 2 minutes. Remove from heat and stir in onions and coriander.
If you want the dish to have more spice add a little hot sauce.
Enjoy!","['250 g rice vermicelli', '450 g frozen peeled uncooked large shrimp', '1 boneless skinless chicken breast', '2 green onions', '1 carrot', '1/2 red pepper', '2 tablespoons lime juice', '1 tablespoon soya sauce', '1 tablespoon water', '2 tablespoons vegetable oil', '1 teaspoon minced garlic', '1 teaspoon grated ginger (or bottled)', '2 teaspoons curry powder', '1/2 teaspoon salt', '1/3 cup fresh coriander (chopped and optional)']"
Singapore Black Pepper Chicken,"Heat oil in wok. Add onions, peppers, garlic, ginger, and green beans. Stirfry until crisp tender and remove from wok, leaving as much oil as possible behind. Keep warm.
Add chicken to oil in wok, and stirfry until done through. Push chicken up the sides of the work, and add sauce. Heat sauce, and as it thickens, stir in chicken.
Add veggies back to chicken in wok. Add black pepper. Stir to combine and reheat veggies if needed. Serve immediately over hot rice.","['1 lb boneless skinless chicken breast, sliced into bite-sized pieces', '3 scallions, chopped', '1 red bell pepper, cored, seeded, and sliced into strips', '8 ounces green beans, cut into bite-sized lengths', '3 garlic cloves, minced', '1 tablespoon fresh grated ginger', '1 -2 chili pepper, minced', '1 -2 tablespoon peanut oil', '2 -3 teaspoons fresh coarse ground black pepper', '2 tablespoons water', '2 tablespoons oyster sauce', '2 tablespoons soy sauce', '2 tablespoons rice wine (or other dry white wine)', '2 teaspoons sugar', '2 teaspoons cornstarch', '1 teaspoon chili-garlic sauce']"
Singapore Noodles,"In a wok or large frying pan, scramble-fry pork with garlic, ginger, cayenne, curry, and green onion. (If you're not using lean meat, you may want to partially cook the meat by itself and then drain most of the fat before adding the other ingredients.).
Meanwhile, cook spaghetti according to package instructions.
Add oyster sauce and soy sauce to meat mixture and toss well to mix thoroughly.
Drain spaghetti and add to meat. Toss to mix and serve.","['1 lb ground pork (or beef or poultry)', '5 garlic cloves, minced', '3 teaspoons ground ginger', '1/4 teaspoon cayenne', '1 1/2 tablespoons curry powder', '1/3 cup green onion, slivered (or chopped)', '1/4 cup oyster sauce', '2 teaspoons soy sauce', '1 lb spaghetti']"
Singapore Burgers,"Heat oils in a skillet.
Add mushrooms and cook 5-8 minutes or until tender.
Prepare grill, remembering to oil grate (can also cook burgers on griddle or under the broiler).
Mix together ground beef, beaten eggs, chopped scallions, soy sauce, ginger, cornstarch, cilantro, and cayenne (may omit if you don't like it spicy).
Form burgers into 4 equal size patties and place on waxed paper until ready to cook.
Cook burgers about 15 minutes or until cooked through to your liking, flipping them over once, but do not press burgers while cooking.
Toast buns.
Serve burgers on toasted buns with sauteed mushrooms, lettuce, and a little bit of peanut sauce (if desired).","['12 ounces fresh mushrooms, sliced', '1 tablespoon peanut oil', '1 tablespoon hot sesame oil', '1 tablespoon dark sesame oil', '1 lb ground chuck', '2 eggs, beaten', '4 scallions, chopped', '2 tablespoons soy sauce', '2 tablespoons ground ginger', '1 tablespoon cornstarch', '2 -3 tablespoons chopped cilantro', '1/2 teaspoon cayenne pepper', '4 sandwich buns or 4 kaiser rolls, split and toasted', '4 pieces red leaf lettuce', '1/4 cup peanut satay sauce (optional)']"
Singapore Cucumber Salad,Combine all ingredients in a large mixing bowl and allow to sit 10 minutes before serving.,"['1 cucumber, large seedless, thinly sliced on the bias', '1/2 yellow bell pepper, cored, seeded and thinly sliced', '1/2 red bell pepper, cored, seeded and thinly sliced', '1/2 cup red onion, thin-sliced', '1 navel orange, peeled, halved and thinly sliced', '1 tablespoon low sodium soy sauce (tamari OK too)', '2 tablespoons mirin', '1 tablespoon rice vinegar, unseasoned', '1 teaspoon sriracha sauce (sambal oelek OK too)', '2 teaspoons brown sesame seeds (black OK )']"
Singapore Fried Noodles,"PREPARATION.
Boil noodles until cooked but still firm- 3 minutes.
Drain and rinse with cold water, then refrigerate.
Thaw shrimp and cut off tails.
Beat eggs and stir fry/scramble.
Set aside.
Blanch bean sprouts, water chestnuts and corn.
Set aside.
Slice onion and set aside.
Mix sauce ingredients in bowl and set aside.
STIR FRY.
Add 2 tbsp peanut oil to hot wok.
When oil begins to smoke, toss in garlic, ginger, shrimp& blanched vegetables.
Stir-fry on high heat for 2 minutes.
Add sauce and continue cooking about three minutes.
Remove to holding bowl.
Rinse wok and return to high heat.
When it is dry, reduce heat to medium and add remaining peanut oil.
Heat oil to moderate (don`t let it smoke).
Add curry powder, stirring to mix with oil.
Cook curry powder for about 30 seconds, making sure it doesn't burn.
Add noodles and toss to coat and heat them.
Add vegetables and toss together.
Turn heat down to low.
Slice tomatoes.
Add eggs and tomatoes and shrimp and mix together.","['1 package chow mein noodles', '10 large cooked frozen shrimp', '3 eggs', '1 can bean sprouts', '1 can water chestnut', '1 can baby sweet corn cob', '1 small onion', '2 medium tomatoes', '1 clove garlic, minced', '1 teaspoon fresh ginger, minced', '1 tablespoon curry powder', '6 tablespoons peanut oil', '1/2 cup canned chicken broth or 1/2 cup stock', '2 teaspoons soy sauce', '1 teaspoon sugar', '3 teaspoons chili oil']"
Singapore Five-Spice Stir Fry,"Cook pasta per package directions. Drain and cover to keep warm.
Meanwhile in a small bowl, combine all sauce ingredients and mix until blended. Set aside.
Spray a nonstick skillet or wok with nonstick cooking spray. Heat over medium-high heat until hot. Add mushrooms, carrots, onion, and garlic. Cook and stir 4-5 minutes.
Add broccoli, cover, and cook 2-4 minutes or until vegetable are crisp-tender, stirring occasionally. Add sauce, cook and stir 2-3 minutes or until bubbly and thickened.
Serve over pasta.","['8 ounces spaghetti or 8 ounces linguine', '1/2 cup orange juice', '1 tablespoon cornstarch', '3/4 teaspoon Chinese five spice powder', '1/4 teaspoon crushed red pepper flakes', '2 tablespoons soy sauce', '2 teaspoons liquid sweetener', '12 ounces mushrooms (cut into 1/4-inch slices)', '1 cup fresh baby carrots (quartered lengthwise)', '1 medium onion (cut into thin wedges)', '2 garlic cloves (minced)', '3 cups broccoli florets (about 6 oz.)']"
Singapore Spare Ribs,"In a large glass bowl combine the sesame oil, ginger, garlic, soy sauce, rice wine, five spice powder, honey, sambal oelek and salt. Mix well.
Add the pork spare ribs and stir until the ribs are totally coated in the marinade.
Cover and refrigerate overnight or for at least 4 hours so they absorb the flavors of the marinade.
Preheat the oven to 350°F.
Place the ribs and marinade into an oiled baking dish (line the baking dish with thick foil to make washing up easier) and cook for 50-60 minutes, turning and basting with pan juices every 15 minutes.
If the marinade begins to burn, add a few tablespoons of warm water to the pan during cooking.
Scatter the chopped green onions over the spare ribs and serve with wedges of lemon and steamed rice.","['2 teaspoons sesame oil', '1 teaspoon fresh ginger, finely chopped', '3 garlic cloves, crushed', '2 tablespoons soy sauce', '2 tablespoons chinese rice wine', '1/2 teaspoon five-spice powder', '2 tablespoons honey', '1 teaspoon sambal oelek', '1/2 teaspoon salt', '3 lbs pork spareribs, cut into individual ribs (ask your butcher to do this)', '1 tablespoon green onion, chopped', '2 lemons, cut into wedges']"
SINGAPORE NOODLES,"To make the sauce: Warm sesame oil in a small pan on medium heat. Add curry powder, garlic and ginger; sauté until fragrant, about 1 ½ minutes. Add chicken broth, soy sauce, brown sugar, and chili paste. Stir to combine and then cover; cook for 5 minutes. Remove pan from heat and set aside.
In a large bowl, place vermicelli in hot water (enough to cover) and soak until noodles are soft, about 3 to 4 minutes. Use a fork or chopstick to separate noodles while in the water. Drain and set aside. Sprinkle noodles slightly with curry powder. Mix and repeat until noodles are evenly colored yellow.
In a small bowl, add eggs and beat well before adding a few dashes of fish sauce; stir to combine and set aside.
In a large wok over medium-high heat, add 2 tablespoons sesame oil. Add onion, peppers (red & jalapeño) and cook until softened. Add garlic and ginger; sauté for 1 minute. Add green onions and bean sprouts; stir fry for 3 minutes. Set vegetables aside in a bowl.
In the wok, heat 2 tablespoons sesame oil over medium heat. Add shrimps and sauté for 30 seconds before adding char siu pork; toss to combine and sauté for 2 minutes. Remove the pan from the heat.
In a small skillet over medium heat, add egg mixture and stir until scrambled but slightly wet. Return wok on medium heat, add scrambled eggs, and vegetables; toss to combine. Add vermicelli and toss until well combined. Pour sauce and mix thoroughly to coat noodles. Serve with toasted sesame seeds and fresh chives.
Note: Add tofu if desired.","['2 tablespoons sesame oil', '4 teaspoons curry powder', '2 large garlic cloves, minced', '1/2 tablespoon fresh ginger, minced', '1 cup low sodium chicken broth', '1 1/2 tablespoons low sodium soy sauce', '4 teaspoons brown sugar (to taste)', '2 teaspoons hot chili paste', '1 cup dried rice noodles', '2 tablespoons curry powder (or as needed)', '1 tablespoon sesame seeds, toasted', '2 large eggs, beaten', '3 dashes fish sauce', '4 tablespoons sesame oil, divided', '1/2 tablespoon vegetable oil (if needed)', '1/3 medium white onion, sliced into thin strips', '1 large jalapeno pepper, seeded, ribs removed and thinly sliced', '1/2 medium red pepper, thinly sliced', '2 large garlic cloves, minced', '1/2 tablespoon ginger, minced', '4 large green onions, diagonally sliced into 2-inch pieces', '2 cups bean sprouts, rinsed and drained', '12 large prawns, peeled and deveined', '1 1/2 cups char siu pork, thinly sliced (Chinese BBQ pork)', '2 tablespoons fresh chives, chopped (substitute nira chives)']"
Pork and Shrimp Singapore Noodles,"In a bowl, pour boiling water over noodles to cover, let stand for 10 minutes; drain.
Meanwhile, whisk together soy sauce, oyster sauce, rice wine vinegar, honey and chili paste; set aside.
In a wok, or large deep skillet, heat the oil over medium-high heat; stir-fry curry powder, ginger root and minced garlic for 30 seconds.
Add in leeks and bell peppers; stir-fry 1 minute.
Add in the pork and shrimp; stir-fry for 4 minutes, or until the shrimp are pink.
Add in the drained noodles, sauce and bean sprouts; gently toss to combine; stir-fry for 5 minutes, or until noodles are heated through.","['6 ounces medium rice noodles', '2 tablespoons soy sauce', '2 tablespoons oyster sauce', '2 tablespoons rice wine vinegar', '2 tablespoons honey', '1/2 teaspoon hot chili paste (or more to taste)', '1 -2 tablespoon vegetable oil', '1 tablespoon curry powder', '1 tablespoon minced gingerroot', '2 tablespoons minced fresh garlic (or to taste)', '1 cup finely sliced leek', '1 red sweet bell pepper, seeded and chopped', '1 green bell pepper, chopped', '8 ounces lean pork, cut into thin strips', '8 ounces shrimp, peeled and deveined', '3 cups bean sprouts']"
Singapore Turkey Stew,"In a large bowl, mix ground turkey, five spice, chili flakes and salt; shape mixture into 1-inch balls; pour flour onto a large plate and roll balls in flour to coat lightly.
Pour oil into a 4-5 qt nonstick pan over medium-high heat; add meatballs in a single layer; cook, turning often, until lightly browned all over and barely pink in the center, about 5-7 minutes; using a slotted spoon, transfer to a plate.
Add garlic and ginger to pan and stir until fragrant, about 30 seconds; add coconut milk, broth and meatballs; bring to a simmer.
Adjust heat to maintain a simmer, cover and cook until meatballs are no longer pink in the center, about 5 minutes.
Stir in bok choy, baby corn, tomatoes, water chestnuts, green onions, and lime juice and cook, stirring often, until bok choy leaves are wilted and stems are barely tender to bite, about 5 minutes.
Sprinkle with cilantro and serve from the pan.","['1 lb lean ground turkey', '1/2 teaspoon Chinese five spice powder', '1/2 teaspoon hot chili flakes', '1/2 teaspoon salt', '2 tablespoons all-purpose flour', '1 tablespoon vegetable oil', '2 cloves garlic, minced', '1 tablespoon grated fresh ginger', '1 (13 1/2 ounce) can coconut milk', '1 (14 1/2 ounce) can chicken broth', '1 head bok choy, rinsed,stem end trimmed and cut into 1 inch pieces (about 12 oz.)', '1 (14 ounce) can baby corn, drained', '2 Italian tomatoes, rinsed,cored and chopped', '1/4 cup drained canned sliced water chestnuts', '1/4 cup thinly sliced green onion', '1 tablespoon lime juice', '3 tablespoons chopped fresh cilantro leaves']"
Homemade Singapore Chilli Sauce,"Grind chillies, shallots, garlic and ginger till semi-fine.
Put paste into a bowl and add boiling chicken stock.
Stir well before adding lemon juice, vinegar, sugar and salt.
Leave it for at least 1 hour to pickle before serving.","['120 g red chilies', '60 g shallots or 60 g onions, peeled', '60 g garlic, peeled', '60 g fresh young ginger', '12 tablespoons lemon juice', '2 teaspoons rice vinegar', '4 teaspoons sugar', '2 teaspoons salt', '1 cup boiling chicken stock']"
